@relation ceratocystis1
% ceratocystis_test_90_10_rgb_11_fs9_res1

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {1,2,3}

@data
134.32,39.3611,4,132.2,4.971972,202,291,672,1
133,5.9416,13,132.035802,2.93711,237,341,729,1
132.38,4.0675,6,132.078765,3.621076,207,281,720,1
121.95,17.03,11,121.807901,19.142399,291,270,445,1
133.07,63.9336,0,129.65642,4.624156,275,442,820,1
132.6,1.8611,11,131.562346,2.304329,201,422,966,1
131.43,8.1075,15,131.291481,4.409132,218,392,889,1
129.97,76.0676,12,127.266914,5.036321,285,273,485,1
132.31,16.7064,17,130.834691,12.578234,253,262,523,1
131.56,18.7779,3,131.112593,4.821067,190,352,807,1
130.65,117.1364,3,126.152593,4.305467,287,466,809,1
130.3,34.2656,7,131.590741,7.859304,223,388,729,1
130.57,35.09,13,130.123704,4.39085,248,272,555,1
129.81,34.7139,5,125.679506,24.815721,265,260,453,1
131.51,13.1356,6,131.524691,4.598897,201,361,887,1
131.13,35.2851,4,129.197778,6.001291,255,482,963,1
130.56,9.2636,8,130.395185,4.601039,197,473,979,1
132.21,20.3724,21,131.118889,4.960858,221,298,622,1
133.16,5.2275,6,131.949506,3.280409,197,299,673,1
130.38,14.5396,14,127.658148,4.174532,279,457,795,1
131.14,3.8664,18,131.310741,5.325388,205,400,846,1
130.54,67.2616,5,128.174938,3.217421,292,467,803,1
132.96,23.9675,1,131.261975,3.785476,225,269,663,1
132.42,53.7531,18,130.157901,9.399227,231,287,638,1
131.19,15.1976,6,131.309383,4.062708,258,325,647,1
128.05,15.8584,17,124.511728,28.792354,267,285,475,1
132.01,54.3131,4,129.991358,6.911146,263,463,856,1
133.54,11.43,12,132.346173,3.996236,216,314,741,1
131.86,37.8364,2,129.878519,7.996121,229,438,793,1
131.38,10.3004,7,130.026049,3.984884,236,435,924,1
132.42,430.82,3,131.322222,9.214279,226,319,630,1
131.66,85.0459,1,129.000988,8.059873,242,493,876,1
130.17,22.1916,8,128.182469,12.480598,239,287,585,1
129.53,41.94,9,131.76642,7.118834,212,413,897,1
131.73,43.5659,3,131.022469,8.357087,197,360,716,1
129.88,11.0739,12,128.680864,7.314618,249,306,587,1
133.82,24.02,8,131.588025,15.511491,224,352,659,1
130.74,30.8619,4,127.261235,15.493769,255,293,560,1
132.36,58.5299,6,128.089877,8.722515,271,469,795,1
133.05,83.9875,17,130.21642,5.693977,220,275,574,1
129.52,27.8979,16,124.566667,35.187766,275,300,473,1
131.41,24.2491,16,129.154198,5.088019,264,272,506,1
131.62,4.8336,3,132.198025,5.691412,191,300,624,1
131.98,39.0204,0,130.55963,3.138166,222,486,994,1
131.59,25.1675,8,130.011358,9.050223,274,339,562,1
128.88,37.1979,21,124.590617,16.554833,284,294,462,1
129.52,7.1536,16,127.147037,21.262381,282,305,517,1
131.04,21.3299,4,131.217654,10.134925,220,352,691,1
134.81,16.6356,8,132.400247,4.055017,221,306,677,1
131.59,7.98,15,132.066667,2.578733,186,381,920,1
