@relation 'ceratocystis_test_90_10_rgb_11-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.Resample-B1.0-S1-Z20.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {0,1,2}

@data
132.79,11.4656,7,131.842346,4.425243,224,285,605,0
132.77,9.3451,20,131.250617,8.202804,249,297,594,0
131.96,29.6579,5,128.064321,12.933102,259,295,601,0
132.8,13.1876,15,131.672593,4.552902,266,345,670,0
132.7,4.9944,20,131.25642,3.694113,221,265,601,0
130.53,38.6456,18,129.712963,4.896116,251,274,525,0
132.65,56.2139,7,131.253951,8.392767,229,323,665,0
130.33,22.2091,13,131.29358,10.84346,225,407,780,0
133.64,7.7379,5,131.860864,7.229652,191,321,735,0
131.91,7.8699,3,131.426049,4.291055,241,325,747,0
133.39,91.9171,19,130.989259,7.827972,229,311,583,0
130.51,5.1075,3,129.952346,7.821216,245,461,928,0
132.4,11.61,7,132.424321,2.493857,199,366,886,0
131.71,4.7976,6,131.11963,4.302844,287,448,789,0
131.02,17.0136,18,131.304074,2.066247,215,335,820,0
132.48,46.5019,2,130.550617,7.73408,231,430,818,0
132.52,17.5931,4,131.385556,8.818981,232,330,663,0
131.26,5.0451,7,130.787654,10.13971,239,416,824,0
132.51,4.73,7,131.620123,3.118427,218,418,868,0
129.84,98.6891,4,129.782716,7.921712,211,333,610,0
131.91,16.0464,1,130.839753,4.41168,276,308,631,0
135.54,13.3264,3,131.986296,4.972173,215,324,740,0
132.73,11.7875,2,130.992716,3.8158,193,306,703,0
131.14,198.9576,1,130.614691,8.06717,209,321,592,0
132.14,97.9164,4,128.544444,8.535669,242,446,738,0
132.53,5.7539,4,131.73284,5.964484,196,335,774,0
131.53,5.8336,3,131.308889,4.417027,254,317,661,0
130.62,2.6475,12,130.94037,5.416604,229,420,901,0
132.7,8.4339,1,132.055802,3.225001,207,290,751,0
132.39,55.7819,2,129.392593,4.225433,236,498,980,0
132.12,7.4444,22,130.930741,5.021575,228,306,711,0
133.59,13.34,20,131.963457,6.200323,215,358,810,0
129.07,46.6764,11,122.759259,17.294982,291,290,467,0
129.9,18.9299,14,131.456296,4.704084,216,381,878,0
130.02,14.9379,7,124.111975,23.094838,252,321,487,0
131.24,36.7499,17,131.443086,4.390213,270,390,769,0
130.78,27.3891,19,131.444198,2.284073,191,371,867,0
129.68,8.3216,5,131.077407,5.225035,192,372,821,0
132.08,22.9475,2,131.282099,8.532597,229,309,633,0
130.53,37.7091,11,125.130864,19.272921,284,306,530,0
132.46,32.0024,8,132.087901,3.703333,228,330,712,0
131,1.3844,11,130.898889,3.920041,267,398,831,0
132.03,3.9944,6,131.134074,4.942629,227,314,754,0
131.96,19.7011,10,128.478765,12.677555,263,297,596,0
129.8,14.02,10,128.521975,4.063739,282,268,515,0
130.2,6.6259,10,131.205802,4.447906,269,443,800,0
132.14,54.5939,9,131.249259,7.906207,227,341,690,0
132.49,49.9456,2,129.98679,5.310295,223,488,954,0
131.89,7.1064,2,131.082222,4.403216,193,340,770,0
130.55,22.3924,3,128.705926,4.591647,248,521,990,0
130.51,12.8,9,124.577037,8.534953,288,291,507,0
131.06,25.4496,3,128.21321,7.642048,256,505,952,0
130.72,182.1036,13,128.013457,17.854432,271,308,630,0
132.04,22.29,11,131.280123,4.47471,269,388,731,0
131.1,30.1776,6,131.102716,5.793209,202,334,730,0
132.34,19.0275,1,130.441728,3.563939,263,406,853,0
131.55,72.5284,5,128.066914,5.292209,234,524,1018,0
131.94,118.6075,3,131.416296,13.941002,227,334,634,0
133.01,6.2131,10,131.709383,3.547213,244,340,731,0
130.2,23.6971,15,125.113457,26.812063,292,297,467,0
131.47,17.7884,13,131.821605,7.499609,226,391,816,0
132.66,3.04,8,132.072346,3.309897,203,358,882,0
130.2,1.81,11,130.400123,3.194031,227,420,937,0
128.95,15.7339,15,128.323457,4.06395,273,239,541,0
130.14,42.0459,10,129.28679,5.334694,270,284,534,0
132.02,186.8779,11,128.621975,19.240287,220,342,641,0
133.36,47.1451,5,132.342963,4.274903,203,295,604,0
133,29.5771,7,126.746914,18.989242,267,298,539,0
130.32,9.4096,14,127.444321,7.600486,265,262,459,0
130.98,5.5224,7,130.200741,4.986787,227,434,921,0
132.96,11.7875,13,129.929753,7.230401,226,289,554,0
130.76,4.2656,18,131.271111,8.198044,230,429,868,0
131.36,15.9075,6,131.289136,16.222493,240,413,754,0
131.24,29.66,28,131.022222,9.536156,213,412,862,0
131.64,8.1475,3,130.030988,4.31131,205,475,1024,0
134.28,14.6051,34,132.321852,3.877841,219,306,673,0
130.61,26.2675,3,127.590247,3.884123,250,501,931,0
130.56,27.8499,7,127.993086,11.494095,212,293,561,0
130.26,100.1984,2,129.426543,6.449748,260,472,859,0
131.29,8.8884,12,126.768272,13.583901,262,307,535,0
132.87,25.2075,2,131.47321,3.339052,220,331,795,0
132.63,7.3516,5,131.689877,4.278787,212,330,720,0
130.02,100.9931,2,128.806667,6.146888,258,483,868,0
131.39,24.9971,3,131.688272,4.992201,221,306,753,0
133.17,8.8324,3,130.646667,3.09229,225,480,973,0
129.46,18.7675,14,128.259506,4.460746,277,276,490,0
132.09,26.1936,6,130.934074,4.765034,269,303,567,0
128.34,57.7091,3,127.153951,8.732999,256,497,907,0
132.2,5.8219,3,131.093333,9.473736,204,343,715,0
131.55,316.7524,0,131.217901,9.115684,223,313,623,0
131.03,34.3176,6,131.058272,4.424249,191,316,719,0
132.15,6.5651,14,131.256543,2.904444,215,448,969,0
131.52,21.0264,0,128.525926,11.577358,243,496,937,0
130.67,33.2731,13,129.618889,8.21893,222,324,549,0
132.63,7.1075,3,132.376914,2.421183,237,350,775,0
132.24,18.7144,19,130.704321,7.916535,235,283,664,0
129.83,41.1219,19,129.680988,8.73336,207,315,601,0
131.49,9.8811,7,128.09284,7.112486,234,284,578,0
131.37,2.8536,4,131.651481,2.956173,208,270,663,0
131.64,29.1736,11,131.522716,4.679448,267,378,731,0
130.68,28.2491,15,130.234444,17.401501,250,270,511,0
132.14,4.0004,6,131.264938,4.499589,256,317,605,0
131.91,8.1804,17,132.321728,2.497787,204,366,848,0
131.37,109.2139,4,129.139506,4.365995,234,510,1001,0
130.84,2.7675,15,131.071728,4.500561,249,367,796,0
130.74,29.2979,14,127.974198,11.931402,212,313,598,0
130.25,15.3824,8,129.780864,4.714309,226,499,975,0
130.74,6.4259,18,129.061605,5.317149,281,372,578,0
132.02,18.6011,5,131.10284,4.161069,255,307,643,0
132.77,13.9675,7,129.624198,11.651382,263,296,528,0
131.8,3.6524,9,131.848519,3.444754,220,292,658,0
132.72,7.7184,0,131.563704,3.96624,216,310,773,0
132.22,8.8296,3,131.684321,4.74658,208,298,690,0
131.37,19.3064,9,127.008025,4.117347,284,453,808,0
131.58,78.4691,4,129.44642,4.218927,286,426,788,0
130.96,8,12,130.726049,9.871962,240,445,816,0
130.68,24.6536,6,128.364198,7.397691,269,299,543,0
130.21,10.0844,6,127.914074,5.546165,284,271,482,0
132.14,21.1875,4,131.297037,14.827708,230,396,749,0
125.39,34.4596,9,123.24716,15.539806,292,302,465,0
131.88,39.5875,0,129.129012,4.777794,216,491,1024,0
132.32,10.3571,11,130.548395,5.375401,226,282,565,0
132.34,45.6379,13,132.182222,5.987507,207,356,695,0
135.13,43.5964,1,132.370988,4.462401,202,293,711,0
131.14,73.8075,18,129.705926,5.530216,217,289,591,0
130.82,46.7416,14,128.527778,12.735453,249,322,609,0
131.46,58.1096,16,131.869136,3.938814,244,379,848,0
132.35,59.8491,2,128.022222,4.214496,248,507,966,0
132.13,35.6771,18,129.820247,12.321304,249,297,644,0
131.08,12.3059,9,129.438272,3.991603,272,298,558,0
132.7,103.3731,5,129.063951,11.001411,264,440,782,0
131.61,31.5,2,128.493333,4.373127,239,489,923,0
131.08,13.1944,12,131.690494,5.16907,217,363,731,0
132.77,3.99,11,131.236667,4.639811,264,315,608,0
125.9,39.6891,13,122.186667,18.489954,287,301,464,0
132.71,4.7896,12,131.227531,4.594346,296,436,794,0
131.31,33.9899,4,128.702099,3.44546,294,474,816,0
132.92,28.94,7,130.376173,8.360829,276,344,587,0
132.58,27.1304,10,130.515556,7.030987,268,340,635,0
130.93,36.9696,24,130.063333,4.886862,267,288,563,0
132.66,10.68,6,131.660988,4.88012,225,294,667,0
130.67,5.5076,12,130.920247,13.858112,238,425,844,0
132.66,13.4875,6,132.224074,4.981777,206,317,629,0
134,8.2475,3,132.104444,4.895644,217,298,686,0
130.6,27.6371,6,128.874074,3.347865,281,428,823,0
132.2,11.4419,8,130.262593,7.474286,244,305,649,0
130.61,45.2784,19,129.742346,3.950773,258,257,564,0
131.79,35.95,21,129.064198,6.323611,237,296,564,0
131.28,47.0939,10,131.437284,7.592094,225,419,885,0
132.59,4.3891,16,132.401728,2.267735,209,337,821,0
131.29,50.2331,12,130.062469,8.061565,230,316,546,0
132.65,125.7051,4,128.811481,6.560989,265,486,843,0
131.21,3.8075,10,131.840494,4.210671,192,408,950,0
132.49,6.7739,6,131.824568,4.468423,250,286,753,0
131.63,50.2611,7,126.318889,5.151325,284,471,813,0
133.3,10.9051,12,132.152222,4.034384,200,399,905,0
133.13,18.1379,1,131.593951,3.647651,213,312,765,0
132.09,9.8171,12,130.990617,6.121175,228,297,659,0
131.86,58.2819,10,132.179753,5.310329,208,353,697,0
132.25,81.2904,6,129.342469,9.008616,262,309,630,0
132.46,39.1979,15,130.673827,8.401385,249,309,693,0
132.05,41.3539,13,129.723827,9.49147,232,307,666,0
131.56,77.2611,0,130.875802,13.135125,220,367,704,0
132.59,44.2964,2,131.170247,4.635829,196,346,792,0
131.5,28.7299,1,127.039506,8.965771,258,520,867,0
132.69,4.9136,16,132.320494,3.591742,185,333,873,0
130.72,8.9224,5,127.197654,16.582894,275,283,470,0
131.65,18.1291,19,132.127284,2.459865,191,335,822,0
132.24,10.5404,6,128.077531,4.943985,241,513,946,0
130.08,26.5996,6,127.068025,20.122148,263,289,486,0
131.77,81.1811,3,128.250617,10.912294,243,481,814,0
129.74,18.3824,3,127.008765,10.348612,208,311,551,0
129.15,42.0891,10,127.176543,24.184627,247,318,512,0
132.2,5.9616,10,132.290123,2.91049,205,381,879,0
130.77,17.7475,3,128.126914,2.780765,288,450,854,0
132.06,50.9139,2,127.075062,4.521406,261,521,985,0
132.29,24.1676,21,130.275309,7.246441,241,309,701,0
131.64,96.71,6,127.626296,4.358843,300,473,794,0
131.07,82.8859,4,130.853951,3.964653,278,465,805,0
129.36,57.0644,22,129.817037,4.913696,253,281,560,0
130.94,91.2836,5,127.734568,7.373771,253,518,938,0
130.51,86.2756,11,130.997407,6.278271,220,395,836,0
130.13,12.6624,12,127.169136,11.989906,245,504,885,0
132.51,5.7944,6,132.072099,4.296211,226,292,611,0
131.88,21.4475,5,131.391111,4.691699,248,349,736,0
130.63,12.07,13,130.448395,4.992747,245,242,621,0
129.67,38.3275,9,123.717778,19.094433,237,288,495,0
130.44,11.6564,11,131.201358,11.394631,227,375,770,0
